A0.	Creator.
A102.17.	Anger of God.
A102.18.	Imperfect god, subject to death and rebirth.
A102.19.	Conflict between God's justice and mercy.
A103.	Father-god.
A104.	The making of gods.
A104.1.	Living person becomes god.
A104.2.	Dead body becomes god.
A104.3.	Miscellaneous objects become gods.
A104.4.	Spirits become gods.
A106.	Opposition of good and evil gods.
A106.0.1.	Gods and the demons quarrel over supremacy.
A106.1.	Revolt of bad gods against good.
A106.1.1.	Goddess rebels against her father for forbidding her marriage.
A106.2.	Revolt of evil angels against God.
A106.2.1.	Revolting devil banished to hell.
A106.2.1.1.	Banished devil appears on earth only on day of dark moon.
A106.2.1.2.	Demon (opposed to God) allowed to earth four times a year (but must let people know who he is and not deceive them).
A106.2.2.	Satan's fall from heaven.
A106.3.	Created beings rebel against God.
A107.	Gods of darkness and light.
A108.	God of the living and the dead in the otherworld.
A108.1.	God of the dead.
A109.	Deity: miscellaneous motifs.
A109.1.	God as a triad.
A109.2.	Goddess as mother of Pacific Ocean.
A110.	Origin of the gods.
A111.	Parents of the gods.
A111.1.	Mother of the gods.
A111.2.	Father of the gods.
A111.3.	Ancestor of the gods.
A111.3.0.1.	God of double sex carries within him seed of gods.
A12.	Hermaphroditic creator.
A111.3.1.	God dwells with his grandfathers.
A111.3.2.	Sea creatures as ancestors of goddess.
A111.3.3.	Great bird as ancestor of gods.
A112.	Birth of gods.
A112.1.	God from incestuous union.
A112.1.1.	God from father-daughter incest.
A112.1.1.1.	Goddess of music and dance born of incestuous union (Brahma and daughter).
A112.2.	Male and female creators beget gods.
A112.3.	Gods born from various parts of creator's body.
A112.4.	God as son of giant.
A112.4.1.	God as son of giantess.
A112.4.2.	Goddess as daughter of giant.
A112.5.	God as son of nine giantesses.
A112.6.	Gods as sons of supreme god.
A112.7.	God born from peculiar part of parent's body.
A112.7.1.	God born from mother's ear.
A112.7.2.	God born from mother's armpit.
A112.7.3.	Goddess born from mother's eyes.
A112.7.4.	God born after prematurely short pregnancy.
A112.8.	God from adulterous union.
A112.9.	Gods borne by human woman.
A112.9.1.	Elementary spirits borne by human woman.
A112.10.	Divine child cast out at birth.
A112.11.	Child born from union of God with hen.
A113.	Totemistic gods.
A114.	Gods born from object.
A114.1.	Deity born from sea-foam.
A114.1.1.	Goddess born from sweat of rock washed by sea.
A114.1.1.1.	God born of another god's sweat.
A114.1.1.2.	Origin of lesser gods from spittle of great god.
A114.2.	God born from egg.
A114.2.1.	Deity born in shape of egg.
A114.3.	Deity born from skull.
A114.4.	Deity born from tree.
A115.	Emergence of deity.
A115.1.	First deity grows out of primeval chaos.
A115.2.	God issues from earth.
A115.3.	Deity arises from mist.
A115.4.	Deity emerges from darkness of underworld.
A115.5.	Emergence of gods from above and below.
A115.6.	Deity arises from shell of darkness where he has been for million ages.
A115.7.	Gods emerge from hole in tree.
A116.	Twin gods.
A116.1.	Twin gods--one mortal, other immortal.
A116.2.	Twin goddesses (or trinity of goddesses).
A116.2.1.	Twin daughters of a god.
A117.	Mortals become gods.
A117.1.	First men created with eternal life become gods.
A117.2.	Mortal translated to heaven and deified.
A117.3.	In extreme old age spirits become gods.
A117.4.	Mortal transfigured to god on mountain top.
A117.5.	Gods are spirits of deified dead.
A118.	Self-created deity.
A119.	Origin of gods--miscellaneous.
A119.1.	God made by magic.
A119.2.	Goddess produced by heat of earth.
A119.3.	Arrival of the gods in particular country.
A120.	Nature and appearance of the gods
A120.1.	God as shape-shifter.
A120.2.	Size-changing god.
A120.3.	Incorporeal god.
A120.4.	Formless gods.
A121.	Stars as deities.
A121.1.	Moon as deity.
A121.2.	Sun as deity.
A122.	God half mortal, half immortal.
A123.	Monstrous gods.
A123.1.	God monstrous as to body.
A123.1.1.	Three-bodied goddess.
A123.1.2.	God with two joined bodies.
A123.1.3.	God with good looking and ugly bodies.
A123.1.4.	God with body of earthquake (whirlwind, etc.
A123.1.5.	God with body of caterpillars.
A123.1.6.	God with body of stream of blood.
A123.1.7.	Goddess with three supernatural bodies: fire, cliff, sea.
A123.2.	God unusual as to face.
A123.2.1.	God with many faces.
A123.2.1.1.	God with two faces.
A123.2.1.2.	God with three faces.
A123.2.1.3.	God with four faces.
A123.2.1.4.	God with five faces.
A123.2.1.5.	God with six faces.
A123.2.2.	God's unusual mouth.
A123.2.2.1.	Maggots squirm from mouth of man-eating god.
A123.2.2.2.	Goddess with eight mouths.
A123.3.	God unusual as to eyes.
A123.3.1.	God with many eyes.
A123.3.1.1.	Three-eyed god.
A123.3.1.2.	God with hundred eyes.
A123.3.1.3.	God with thirteen eyes.
A123.3.1.4.	God with thousand eyes.
A123.3.1.4.1.	Goddess with thousand eyes.
A123.3.2.	God with flashing eyes.
A123.4.	God monstrous as to head.
A123.4.1.	God with many heads.
A123.4.1.1.	God with three heads.
A123.4.1.2.	God with seven heads.
A123.4.1.3.	God with eight heads.
A123.4.2.	God with head of stone.
A123.5.	God unusual as to arms.
A123.5.1.	God with many arms.
A123.5.2.	Marvels concerning God's arm and fingers.
A123.6.	God unusual at to legs (feet).
A123.6.1.	God with three legs.
A123.7.	God unusual as to color.
A123.7.1.	Many-colored god.
A123.7.2.	Black god(dess).
A123.8.	Goddess with one-and-a-half buttocks.
A123.9.	Lotus plants grow from navel of Vishnu.
A123.10.	God (deity) girdled with snakes; on his forehead shines the moon.
A123.11.	God with tail.
A124.	Luminous god.
A124.0.1.	God with luminous countenance.
A124.1.	God with blazing eye.
A124.2.	White god.
A124.3.	Goddess with body full of fire.
A124.4.	God's radiance upon Moses' face.
A124.5.	God in form of comet.
A125.	Deity in human form.
A125.1.	Goddess of war in shape of hag.
A125.1.1.	Goddess of war in shape of (red) woman.
A125.2.	God with red beard.
A125.3.	God with gold teeth.
A125.4.	Beautiful goddess.
A128.	Mutilated god.
A128.1.	Blind god.
A128.2.	One-eyed god.
A128.2.1.	God with Evil Eye.
A128.2.2.	God with single eye, through lid of which passes a polished handle with which lid is lifted.
A128.3.	Legless and armless deity supported on animal.
A128.3.1.	God with one leg (foot).
A128.4.	God with one hand.
A128.5.	Lame god.
A128.5.1.	God with thick (iron) shoe.
A131.	Gods with animal features.
A131.1.	God as part man, part fish.
A131.2.	God with elephant's face.
A131.3.	Deity with animal's head.
A131.3.1.	Deity with cat's head.
A131.3.2.	Goddess with pig's head.
A131.3.3.	God with ram's head.
A131.4.	God in tiger's skin.
A131.5.	God with goat-feet.
A131.6.	Horned god.
A131.7.	Winged god.
A131.8.	Goddess with pig's teeth.
A132.	God in animal form.
A132.0.1.	God in successive animal forms.
A132.0.1.1.	God takes form successively of ants, scorpion, and cobra.
A132.0.1.2.	God in three forms: gecho, shark, or priest.
A132.1.	Snake-god.
A132.1.1.	Deity has snake-children.
A132.2.	Monkey as god.
A132.3.	Equine god (goddess).
A132.3.1.	Horse-god.
A132.3.1.1.	Mule-god.
A132.3.2.	Horse-goddess.
A132.3.3.	Ass-god.
A132.4.	Stag-god.
A132.5.	Bear-god (goddess).
A132.6.	Bird deity.
A132.6.1.	Bird-god.
A132.6.2.	Goddess in form of bird.
A132.6.3.	Cock-god.
A132.6.4.	Female deities as fly-catchers.
A132.6.5.	Pigeon-god.
A132.7.	Swine-god.
A132.8.	Dog (wolf)-god.
A132.9.	Bull-god.
A132.9.1.	Cow as god.
A132.10.	Tiger-god.
A132.11.	Seal-god.
A132.12.	Eel-god.
A132.13.	Fish-god.
A132.14.	Ram-god.
A132.15.	God as tortoise.
A133.	Giant god.
A133.1.	Giant god drinks lakes dry.
A133.2.	Giant goddess bestrides entire land.
A133.2.1.	Giant god goes with three steps through the world.
A133.2.2.	Heaven as God's throne, earth His footstool.
A133.3.	Giant orderly of the gods.
A134.	Dwarf god.
A135.	Man-eating god (goddess).
A136.	Gods with unusual transportation.
A136.1.	God rides unusual animal.
A136.1.1.	Deity rides boar.
A136.1.2.	God rides unusual horse.
A136.1.2.1.	Sleipnir: eight-legged horse of Odin.
A136.1.3.	God rides a bull.
A136.1.4.	God rides bird.
A136.1.4.1.	God rides swan.
A136.1.5.	God rides flying elephant.
A136.1.6.	Deity rides a buffalo.
A136.1.7.	Deity rides a lion.
A136.1.8.	Goddess flies in bird's plumage.
A136.2.	God's (goddess's) wagon drawn by unusual animals.
A136.2.1.	Goddess has team of sparrows.
A136.2.2.	Goddess's chariot drawn by one-footed horse.
A136.3.	God's chariot goes through the air.
A136.3.1.	Chariot of fire drawn by four steeds of fire.
A137.	Pictorial representations of gods.
A137.1.	God with hammer.
A137.1.1.	God with axe.
A137.2.	God with club.
A137.3.	God with wheel.
A137.3.1.	Wheel symbol.
A137.3.1.1.	Swastika (hooked cross).
A137.4.	God (goddess) with basket.
A137.4.1.	God carries brothers and sisters on his back in basket.
A137.5.	God (goddess) with cornucopia.
A137.6.	Squatting god.
A137.7.	The bull with three cranes.
A137.8.	Small-pox deity rides nude on an ass with the half of a winnowing fan for an umbrella and with a swing in one hand and a broom in the other.
A137.9.	Goddess represented as mounted on a drake, attended by eight chief snakes attended by snake jewels.
A137.10.	God represented as king, world as his kingdom.
A137.11.	God represented in cloud.
A137.12.	God represented as bridegroom.
A137.13.	God represented as priest.
A137.14.	God represented with weapon.
A137.14.1.	God represented with bow of fire.
A137.14.1.1.	God represented with arrow of flames.
A137.14.2.	God represented with spears as torches.
A137.14.3.	God represented with clouds as shield.
A137.14.4.	God represented with lightning flashes as sword.
A137.15.	God represented on high throne surrounded by angels.
A137.16.	God represented as meteor.
A137.17.	God represented as among seven sheaths of fire.
A137.18.	God with long white beard and white moustache.
A138.	God's ineffable name.
A139.	Nature and appearance of the gods--miscellaneous.
A139.1.	Gods (supernatural beings) have many names.
A139.2.	Tortoise footstool of God.
A139.3.	Dragon god.
A139.4.	Vampire goddess.
A139.5.	God's voice.
A139.5.1.	God's voice shatters mountain.
A139.5.2.	God's voice causes thunder.
A139.6.	God's words.
A139.7.	Distinctive aroma of gods.
A139.8.	God appears as an object.
A139.8.1.	God as a tree trunk.
A139.8.2.	Goddess appears as coral reef.
A139.8.3.	Smoldering fire of volcano as head of goddess.
A139.8.4.	God of the wind in shape of kite.
A139.8.5.	Goddess in form of tree.
A139.8.6.	God in shape of an image.
A139.9.	Extraordinary physical characteristics of gods.
A139.9.1.	Goddess with red urine.
A139.9.2.	Gods have ichor, not blood: can be wounded but not killed.
A139.9.3.	Gods covered with red and yellow feathers.
A139.10.	God with myriad natures.
A139.11.	Gods recognized by natural phenomena associated with their worship--color, scent, etc.
A139.12.	Long-suffering God.
A139.13.	Temperamental goddess.
A139.14.	Ugly god.
A139.15.	Greedy god.
A140.	Gods as workmen
A141.	God as craftsman.
A141.1.	God makes automata and vivifies them.
A141.2.	God builds temple in heaven and brings it later to earth.
A141.3.	God bores hole in Hell to cause great heat on earth.
A141.4.	God lays foundations of earth.
A142.	Smith of the gods.
A142.0.1.	God as blacksmith.
A142.1.	Brazier of the gods.
A143.	Carpenter (wright) of the gods.
A144.	Physician of the gods.
A145.	Champions of the gods.
A147.	Gods as fishers.
A150.	Daily life of the gods.
A151.	Home of the gods.
A151.0.1.	Home of god where he is the only living one.
A151.0.2.	God's abode known to none.
A151.1.	Home of gods on high mountain.
A151.1.1.	Home of gods inside of hill.
A151.1.2.	Home of gods in cave.
A151.1.3.	Home of gods in volcano crater.
A151.1.4.	Gods live in cloudland.
A151.2.	Garden of the gods.
A151.3.	Home of the gods under the sea.
A151.3.1.	Gods live in spring.
A151.3.2.	Home of gods on island.
A151.4.	Palaces of the gods.
A151.4.1.	God's temple of jewels.
A151.4.2.	Palace of gods with door at each end for sun's journey.
A151.4.3.	Golden mansions of gods.
A151.4.4.	House of god with pillars made of dead chief's bones.
A151.5.	City of gods (God).
A151.6.	God's home on heavenly bodies.
A151.6.1.	God (Indra) has palace on Milky Way.
A151.6.2.	Sun and moon as habitations of gods.
A151.7.	Deity lives in forest.
A151.7.1.	Deity resides in tree.
A151.7.1.1.	God's home under tree of life.
A151.8.	God in sea of milk.
A151.9.	God originally resident among men.
A151.10.	God dwells at particular point on earth.
A151.10.1.	Home of God the ark and the temple.
A151.11.	God's spirit dwells among mortals.
A151.12.	God's landing place (on island).
A151.13.	God dwells alone in darkness.
A151.14.	Various other dwelling places of gods.
A152.	God's throne.
A152.1.	God's two thrones (of mercy and of justice).
A152.2.	Flames surround God's throne.
A152.3.	God's throne on wheels.
A152.4.	Attendants around God's throne.
A152.5.	Heavenly curtain surrounds God's throne.
A152.6.	Footstool before divine throne.
A152.7.	Bearers of God's throne.
A152.8.	Heavenly throne has Jacob's face engraved on it.
A152.9.	God's throne becomes hot because of activities on earth.
A153.	Food of the gods.
A153.1.	Theft of ambrosia.
A153.2.	Magic food gives immortality to gods.
A153.2.1.	Gods' food gives supernatural growth.
A153.3.	Banquets of the gods.
A153.3.1.	Moon steals food from banquet of the gods.
A153.3.2.	Sun, moon and wind dine with their uncle and aunt, thunder and lightning.
A153.4.	Magic food rejuvenates the gods.
A153.5.	Food of gods: meat of "cow of plenty".
A153.6.	Why gods only accept blood.
A153.7.	God's preference for cooked food.
A153.8.	Cannibal gods.
A153.9.	Gods nourished by air.
A154.	Drink of the gods.
A154.1.	Magic drink gives immortality to gods.
A154.2.	Theft of magic mead by Odin.
A154.3.	Gods discover liquor.
A154.4.	Milk of the gods.
A155.	Animals of the gods.
A155.1.	Cattle of the sun.
A155.2.	Horses of the gods.
A155.3.	Birds of the gods.
A155.4.	Gods keep mosquitoes as pets.
A155.5.	God's elephant.
A155.5.1.	God has enormous elephant.
A155.6.	Goddess sleeps on bed of snakes.
A155.7.	God has his dairies and buffaloes.
A156.	Precious properties of the gods.
A156.1.	Jewels of the gods.
A156.2.	God's crown.
A156.3.	God's scepters.
A156.4.	God's seal.
A156.5.	Chariot of the gods.
A157.	Weapons of the gods.
A157.1.	Thunderweapon.
A157.1.1.	Thunderbolt as gods' weapon.
A157.2.	God's arrows.
A157.3.	God's spear.
A157.4.	God's shield.
A157.5.	God's sword.
A157.6.	God's bow.
A157.7.	Hammer of thunder god.
A158.	Clothing of gods.
A159.	Daily life of the gods--miscellaneous.
A159.1.	Deity's special drum.
A160.	Mutual relations of the gods.
A161.	Hierarchy of gods.
A161.1.	Division of control of universe among gods.
A161.2.	King of the gods.
A161.3.	Queen of the gods.
A161.4.	God presides over all male spirits.
A161.5.	Eldest god born in front, younger at back.
A162.	Conflicts of the gods.
A162.1.	Fight of the gods and giants.
A162.1.0.1.	Recurrent battle (everlasting fight).
A162.2.	Combat between god of light and dragon of ocean.
A162.3.	Combat between thundergod and devil.
A162.3.1.	Devil (ogre) steals thunder's instruments.
A162.3.2.	Thunder and lightning slay devils.
A162.4.	Brahma cursed by other gods: now has no temples.
A162.5.	God reborn of human woman to avenge self on giant.
A162.6.	Battle between God's orderly (giant) and plague.
A162.7.	Single combat between gods.
A162.8.	Rebellion of lesser gods against chief.
A163.	Contests among the gods.
A163.1.	Game between gods.
A163.1.1.	Gods play chess.
A164.	Marriage or liaison of gods.
A164.1.	Brother-sister marriage of the gods.
A164.1.1.	Mother-son marriage of the gods.
A164.2.	Adultery among the gods.
A164.3.	Polygamy among the gods.
A164.3.1.	Krishna plays cards with his three wives.
A164.4.	Matriarchy among the gods.
A164.5.	Polyandry among the gods.
A164.6.	God as lover of giantess.
A164.7.	Jealous wife of god.
A165.	Attendants and servants of the gods.
A165.1.	Animals as attendants of god.
A165.1.1.	Ravens as attendants of god.
A165.1.2.	Eagle as god's bird.
A165.1.3.	Red sea-bird god's pet.
A165.2.	Messenger of the gods.
A165.2.0.1.	Deity's messenger can assume any guise he wishes.
A165.2.1.	Animals as messengers of the gods.
A165.2.1.1.	Wild beasts as messengers of the gods.
A165.2.1.1.1.	Wolves as god's dogs.
A165.2.1.1.2.	Tiger as god's messenger.
A165.2.1.1.3.	Elephant as god's messenger.
A165.2.1.1.4.	Bears as God's messengers.
A165.2.1.1.5.	Leopards as God's messengers.
A165.2.1.1.6.	Lions as God's messengers.
A165.2.2.	Birds as messengers of the gods.
A165.2.2.1.	Cock as ambassador of god.
A165.2.3.	Angels as God's messengers.
A165.2.4.	Powers of nature (sun, moon, etc.)
A165.3.	Cupbearer of the gods.
A165.3.1.	Cupbearer of the gods is god of smith-work.
A165.3.2.	Cupbearer of the gods controls waters.
A165.4.	Watchman of the gods.
A165.4.1.	Demons as watchmen of the gods upon earth.
A165.5.	Doorkeeper of the gods.
A165.6.	Scribe of the gods.
A165.7.	Army of the gods.
A165.8.	Magician of the gods.
A165.9.	Fisherman of the gods.
A166.	Dancers of the gods.
A167.	Assembly of gods.
A167.1.	Council of the gods.
A168.	Family of gods.
A169.	Mutual relations of the gods--miscellaneous.
A169.1.	Judge and tribunal of the gods.
A170.	Deeds of the gods.
A171.	Gods ride through air.
A171.0.1.	God drives chariot over waves.
A171.0.2.	God ascends to heaven.
A171.0.3.	God descends from heaven.
A171.0.3.1.	God descends on rainbow.
A171.0.3.2.	God descends in form of shooting star.
A171.1.	God rides through air on wind-swift horse.
A171.1.1.	God rides through air in chariot.
A171.1.2.	Valkyries ride through air and water.
A171.2.	God flies in bird plumage.
A171.3.	God flies in pillar of floating clouds, thunder, and lightning.
A172.	Gods intervene in battle.
A173.	Gods deposed for a time.
A173.1.	In god's absence his function ceases.
A173.2.	Gods imprisoned.
A175.	God reduces the elements to order.
A175.1.	God supplies reproductive energy to all things.
A176.	God ordains ceremonies and regulations.
A177.	God as thief.
A177.1.	God as dupe or trickster.
A178.	God as prophet.
A179.	Deeds of the gods--miscellaneous.
A179.1.	God as rath-builder.
A179.2.	God given dominion over floating island.
A179.3.	God deliberately has enemies kill him.
A179.4.	Head of god bitten off by shark.
A179.5.	Deity reincarnated.
A179.6.	God has power to create men.
A179.7.	God divests self of earthly raiment and clothes self with lightning.
A179.8.	God hides from sun in shadow of a cloud.
A179.9.	God plays with leviathan.
A180.	Gods in relation to mortals
A181.	God serves as menial on earth.
A181.1.	God clears plains.
A181.2.	God as cultivator.
A182.	God reveals himself to mortals.
A182.0.1.	God does not reveal himself; men unable to endure his glory.
A182.0.2.	Human intellect unable to conceive God's essence.
A182.1.	God reveals secrets (mysteries) to mortals.
A182.1.1.	Household gods speak to explain events.
A182.2.	God gives name to child.
A182.3.	God (angel) speaks to mortal.
A182.3.0.1.	God speaks to Moses from bush.
A182.3.0.1.1.	Angel speaks to Patrick from bush that merely seems to burn.
A182.3.0.2.	God speaks to saint in prison.
A182.3.0.3.	Saint speaks with God each Thursday.
A182.3.0.3.1.	Saint goes to heaven every Thursday (each day) and talks with angels.
A182.3.0.4.	God does not directly address women; uses interpreter.
A182.3.0.5.	God speaks from mountain.
A182.3.1.	God consoles mortal.
A182.3.2.	God rebukes mortal.
A182.3.3.	God blesses mortal.
A182.3.4.	God makes promises to mortal.
A182.3.4.1.	God in form of fakir visits king and gives him advice.
A182.3.4.2.	God promises mortal prosperity for man and offspring.
A182.3.5.	God advises mortal.
A182.3.6.	Moon-god, overcome in contest with mortal, threatens to withold rain and game.
A183.	Deity invoked.
A183.1.	Male god invoked in east; female in west.
A184.	God as founder and protector of certain peoples.
A184.1.	God as protector of Israel.
A185.	Deity cares for favorite individuals.
A185.1.	God helps mortal in battle.
A185.2.	Deity protects mortal.
A185.2.1.	God rescues sleeping man from attack.
A185.2.2.	God makes man's hand rigid so he can no longer torment captive.
A185.2.3.	God makes sword drop from assailant's hands.
A185.3.	Deity teaches mortal.
A185.4.	Deity buries dead mortal.
A185.5.	Deity assists at man's wedding.
A185.6.	Deity particular friend to one mortal.
A185.6.1.	God kisses mortal.
A185.6.1.1.	Kiss of God causes painless death.
A185.7.	God prepares food for mortal.
A185.8.	Deity promises to restore city.
A185.9.	Covenant between God and mortal.
A185.10.	Deity accompanies mortal on journey as guide.
A185.11.	God rewards mortal for pious act.
A185.12.	Deity provides man with soul.
A185.12.1.	God resuscitates man.
A185.12.2.	God removes mortal's soul.
A185.13.	God puts mortal to test.
A185.14.	God controls mortals' sinning.
A185.14.1.	God causes mortals' sin.
A185.14.2.	God witholds mortal from sinning.
A185.15.	God establishes peace between mortals.
A185.16.	God pities mortal.
A185.17.	God visits sick mortal.
A187.	Gods and men judge each other.
A187.1.	God as judge of men.
A187.2.	Mortal as umpire of quarrel between gods.
A188.	Gods and goddesses in love with men.
A188.1.	Philandering god.
A188.2.	Gods as ancestors of mankind.
A189.	Gods in relation to mortals--miscellaneous.
A189.0.1.	"Gods and not-gods".
A189.1.	Mortal as ally of gods.
A189.1.1.	Man as helper of thundergod.
A189.2.	God summoned by weeping.
A189.3.	Man cheats a god in throwing dice.
A189.4.	God jealous of a mortal.
A189.5.	Goddess' throne shakes when some mischance befalls her faithful worshipper.
A189.6.	Deity appears before human being after prayers.
A189.7.	Deity ascertains destiny of newborn babe and inscribes it upon his forehead.
A189.8.	Accountants of god keep lists of good and bad acts of human beings.
A189.9.	Early period when gods and men lived together, gods ruling men, ordaining how they should live and originating various customs.
A189.10.	Goddesses come down to earth by a silken thread, are offended by raja and produce drought.
A189.11.	Mortal adopted son by god.
A189.12.	Goddess protects animals from hunters.
A189.13.	Gods forced by mortals to take refuge underground.
A189.14.	God's enemies.
A189.15.	God as fructifier of mankind and the earth.
A189.16.	Gods give divinity to mortal.
A189.17.	Night the period of gods, day the period of mankind.
A190.	Gods: miscellaneous motifs.
A191.	Goddess rejuvenates self when old.
A191.1.	Great age of the gods.
A192.	Death or departure of the gods.
A192.1.	Death of the gods.
A192.1.1.	Old god slain by young god.
A192.1.2.	God killed and eaten.
A192.2.	Departure of gods.
A192.2.1.	Deity departs for heaven (skies).
A192.2.1.1.	Deity departs for moon.
A192.2.2.	Divinity departs in boat over sea.
A192.2.3.	Divinity departs to submarine home.
A192.2.4.	Divinity departs in column of flame.
A192.3.	Expected return of deity.
A192.4.	Divinity becomes mortal.
A193.	Resurrection of gods.
A194.	Divinity's emotions.
A194.1.	Divinity weeps.
A194.2.	God's vengeance.
A194.3.	God's jealousy.
A194.4.	God's joy.
A195.	Divinity's companions.
